Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AMD,ASML,INTC,NVDA,AMD,ASML,INTC,NVDA,AMD,ASML,INTC,NVDA,AMD,ASML,INTC,NVDA,AMD,ASML,INTC,NVDA
Date,,,,,,,,,,,,,,,,,,,,
2018-01-02,10.979999542236328,164.25970458984375,39.33039093017578,4.928532600402832,11.020000457763672,164.36136817053023,39.372368297035734,4.93224137307798,10.34000015258789,160.7939199332335,38.793113939572436,4.808626305798373,10.420000076293945,160.94179679647084,38.935829941564656,4.840271355599246,44146300,818600,23370800,355616000
2018-01-03,11.550000190734863,165.50747680664062,37.995582580566406,5.252899169921875,12.140000343322754,165.96958166233185,38.79310431672374,5.283308751359066,11.359999656677246,164.21357474931264,36.64399688740861,5.037314533526364,11.609999656677246,164.25978805534595,38.17187915134584,5.045967551442448,154066700,1054200,116479000,914704000
2018-01-04,12.119999885559082,167.0508575439453,37.298805236816406,5.280588150024414,12.430000305175781,167.9935551285267,37.483495370206114,5.390853048055927,11.970000267028809,165.80316914957825,35.83808087780022,5.258337400649796,12.100000381469727,166.81056816456132,36.53486405200838,5.334237325777807,109503000,915600,89209100,583268000
2018-01-05,11.880000114440918,169.0102081298828,37.55904769897461,5.325337886810303,12.220000267028809,169.54625139996355,37.903240887347586,5.362669410950492,11.65999984741211,167.05088825479567,36.85387102006136,5.218534182020632,12.1899995803833,167.13406373576004,37.29880281901546,5.295422965695073,63808900,516100,41824000,580124000
2018-01-08,12.279999732971191,169.8975067138672,37.55904769897461,5.488509654998779,12.300000190734863,170.4797634605422,37.64299600738843,5.562678513220074,11.850000381469727,168.9548086721848,36.904238724140576,5.4039567039345675,12.010000228881836,169.3060129450775,37.16448360409973,5.448952867740209,63346000,763900,33733800,881216000
2018-01-09,11.819999694824219,168.98248291015625,36.61880111694336,5.487026214599609,12.020000457763672,170.21168339248035,37.64298688396088,5.533505416633515,11.710000038146973,167.50375598502677,36.509668982939985,5.40544028091156,12.0,170.11927089221453,37.52545799969761,5.493948628878952,62560900,854300,44282300,497000000
2018-01-10,11.960000038146973,167.013916015625,35.678585052490234,5.530043125152588,12.149999618530273,167.7902486625051,36.60202950229115,5.533504331613579,11.5600004196167,165.73850230838002,35.62821413248483,5.34017048685045,11.630000114440918,167.64237174815116,36.3753683683257,5.394560941459464,52561200,668700,45735000,582664000
2018-01-11,12.140000343322754,165.0176544189453,36.4425163269043,5.539933681488037,12.1899995803833,166.57032003675585,36.58523229295538,5.594077052794254,11.899999618530273,164.42616074040012,35.636601043958414,5.518424212334311,12.069999694824219,166.43169421456622,35.930423323442014,5.562678622408826,38354900,831900,35371500,406032000
